298	141	67	213.0 			1		172723	209	SCM
										
292	127	57	144.0 			1		107082	178	SCM
										
292	127	20	154.0 			2		120826	183	SCM
										
37	37	3	3.0 			1	1	3056	58	SCM
										
368	57	27	54.0 		V	1	1	52142	220	FSM
363	40	20	50.0 		 	1	1	47300		
363	40	20	48.0 		 	1	1	44175		
										
259	285	43	167.0 	2	 	2	1	149936	380	FSM
										
259	285	53	277.0 		 	1	1	238838	380	FSM
										
61	21	12	4.5 			2	2	3897	85	SCM
										
57	46	13	5.6 			3	1	6724	114	SCM
57	46	14	6.6 			3	1	8288		
										
143	88	10	33.2 			2	1	27232	192	SCM
143	88	20	40.8 			2	1	34521		
										
88	88	29	31.0 		 	3	1	33004	205	FSM
88	88	22	29.1 		 	3	1	30968		
										
88	88	22	28.4 		 	3	1	30195	205	FSM
88	88	22	29.2 		 	3	1	30715		
										
119	88	30	48.8 			1	1	46789	220	FSM
119	101	24	38.1 			1	1	31346		
119	101	22	39.8 			1	1	32851		
										
126	102	19	54.8 			2	1	49450	200	SCM
76	72	30	38.2 	1		2	1	38224		
										
144	48	15	24.8 			3	1	23269	108	S
										
53	37	21	7.3 	1	 	4	1	6439	120	F
6	6	2.2	0.05 			1	2	114		
										
86	85	69	59.2 			4	1	44718	280	F
119	101	108	105.4 			4	1	90334		
										
71	55	22	9.2			1	1	8517	110	F
71	55	13	7.6			1	1	6612		
										
51	33	27	11.9			2	1	15796	85	F
										
87	39	17	19.9				1	18348	180	F
87	39	17	20				1	18689		
15	15	6	0.6				2	568		
										
221	105	34	107		V	3	1	90294	288	S
221	105	33	153.2		V	2	1	126011		
										
151	81	27	35.33		 	2	1	29357	150	S
14	10	6	1.5		 	1	3	493		
62	62	13	3.5		 	3	1	9918		
										
249	30	29	39	1		2	1	35107	160	F
										
245	100	116	146.8			3	1	118145	190	F
										
210	210	8	22.8			2	1	21670	90	F
										
12	12	23	1.3			1	2	2443	83	S
										
253	253	52	233.2			2	1	170607	220	S
										
195	29	27	21.9	1		1	1	18544	160	S
24	19	11	1.8			1	3	2046		
										
241	150	79	127.9			1	1	105497	300	F
241	150	79	121			1	1	98762		
										
344	42	84	155.6			2	1	131022	180	F
										
210	210	24	38.5			2	1	35485	120	F
32	32	15	4.3			1	1	3626		
										
204	204	76	234.1			2	1	169379	245	F
										
180	180	241	399.8			2	1	257765	300	F
										
180	180	67	144.8			2	1	94329	130	F
										
318	305	28	246			1	1	197636	200	F
										
32	15	15	1.95				4	2311	155	S
37	37	17	3.31				1	3345		
20	20	3	0.71				4	768		
										
7.4	8.2	8.2	0.33				1	340	110	F
50	28	15	3.34				1	3343		
50	28	14	3.38				1	3319		
										
47	19	19	6.95				1	6473	143	F
26	26	17	2.8				1	2562		
45	38	14	6.39				1	6092		
										
105	105	20	34.34				1	29528	175	F
105	105	14	30.92				1	27022		
										
146	94	13	43.77				1	39070	184	F
146	94	14	45.4				1	40672		
										
282	78	32	91.64				1	85320	330	F
282	78	32	91.64				1	85153		
										
278	99	25	89.87				1	84353	200	F
										
177	153	25	115.95				1	105888	325	F
107	94	65	71.27				1	67423		
114	13	13	8.87				1	8113		
										
112	21	8	5.27				1	4930	112	S
19	5	5	0.17				2	271		
27	11	6	1				1	999		
30	12	8	0.69				1	785		
										
82	82	28	31.44				1	33770	205	F
82	82	22	29.13				1	30968		
										
82	82	23	28.37				1	30195	205	F
82	82	23	29.31				1	30715		
										
34	34	22	3.98				1	5599	120	F
20	20	6	0.52				1	850		
10	7	8	0.26				4	546		
										
118	86	31	48.86				1	46788	220	F
119	101	24	38.06				1	31344		
119	101	22	39.87				1	32863		
										
126	102	18	54.83				1	49450	200	S
76	72	30	38.16				1	38224		
